SL2S J02215-0647               02:21:51.18  -06:47:32.79  0.618  N   SL2S J02215-0647_GROUP         02:21:51.10  -06:47:33.00  0.618  limousin+09           2009A%26A...502..445L   0.094   0.094   0.210   0.210   0.332   0.332   0.392   0.392   0.249   0.249   0.498   0.498   0.748   0.748
CFHTLS c81-w1                  02:22:21.60  -05:40:55.20  0.220  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     3.227   0.465   9.452   1.363  14.447   2.083  17.622   2.541   2.710   0.187   6.614   0.561  10.237   0.964
CFHTLS c82-w1                  02:22:36.00  -07:16:12.00  0.370  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.541   0.071   1.483   0.195   2.214   0.291   2.595   0.341   1.029   0.081   2.045   0.190   2.833   0.283
SL J0222.8-0416                02:22:54.00  -04:16:43.00  0.322  N   SL J0222.8-0416                02:22:54.02  -04:16:43.30  0.430  hamana+09             2009PASJ...61..833H     0.605   0.083   1.571   0.214   2.200   0.307   2.543   0.350   1.042   0.086   2.001   0.197   2.723   0.288
XLSS J022303.0-043622          02:23:03.00  -04:36:22.00  1.220  N   XLSSC 46                       02:23:03.00  -04:36:22.00  1.220  sereno&13             2013MNRAS.434..878S     1.096   0.465   9.669   5.622  27.742  27.905  32.749  37.876   3.211   0.518  10.100   3.198  18.972   8.283
CFHTLS c83-w1                  02:23:19.20  -07:59:49.20  0.320  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     2.800   0.325   8.363   0.969  12.871   1.492  15.408   1.786   2.644   0.149   6.374   0.441   9.796   0.751
CFHTLS c86-w1                  02:23:28.32  -08:51:54.00  0.270  P   400d J0223-0852                02:23:28.20  -08:52:12.00  0.163  shan+12               2012ApJ...748...56S     0.262   0.044   0.672   0.112   0.980   0.163   1.159   0.193   0.598   0.065   1.094   0.137   1.456   0.193
CFHTLS c84-w1                  02:23:41.76  -07:59:20.40  0.020  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     2.224   0.235   5.996   0.633   8.898   0.940  11.252   1.188   2.032   0.109   4.679   0.306   7.003   0.505
CFHTLS c88-w1                  02:23:45.84  -10:55:26.40  0.240  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.293   0.051   0.750   0.132   1.094   0.192   1.302   0.228   0.636   0.072   1.178   0.153   1.575   0.219
XMM-CFHTLS 110460              02:23:59.52  -08:35:44.16  0.270  P   ABELL 348                      02:23:57.79  -08:35:25.80  0.274  kettula+15            2015MNRAS.451.1460K     2.528   0.832   7.890   2.600  11.420   3.760  13.789   4.540   2.440   0.398   5.821   1.160   8.890   1.958
XLSS J022402.0-050525          02:24:01.92  -05:05:24.00  0.324  N   XLSSC 18                       02:24:00.60  -05:05:25.00  0.322  shan+12               2012ApJ...748...56S     0.085   0.018   0.208   0.044   0.298   0.064   0.347   0.074   0.267   0.041   0.441   0.076   0.558   0.101
SL J0224.4-0449                02:24:27.00  -04:50:34.00  0.495  N   RzCS 447                       02:24:27.00  -04:50:34.00  0.490  hamana+09             2009PASJ...61..833H     1.219   0.327   3.571   0.950   5.257   1.407   6.000   1.607   1.802   0.258   3.856   0.677   5.547   1.069
RCS J0224.5-0002               02:24:30.00  -00:02:00.00  0.778  N   RCS J0224.5-0002               02:24:30.00  -00:02:00.00  0.773  hicks+07              2007ApJ...671.1446H     1.700   0.471   3.853   1.926   6.036   3.018   6.800   3.400   2.139   0.562   4.686   1.519   6.826   2.438
SL J0224.5-0414                02:24:33.50  -04:14:05.00  0.263  N   RzCS 372                       02:24:33.50  -04:14:05.00  0.260  hamana+09             2009PASJ...61..833H     0.658   0.226   1.686   0.579   2.357   0.814   2.743   0.943   1.069   0.219   2.064   0.503   2.817   0.741
XMM-CFHTLS 110090              02:25:05.11  -09:50:17.16  0.159  P   ABELL 350                      02:25:02.88  -09:49:28.60  0.280  kettula+15            2015MNRAS.451.1460K     0.804   0.406   2.260   1.150   3.180   1.605   3.877   1.957   1.192   0.347   2.467   0.852   3.489   1.303
